ymd	type	alltotal
20200831	localmeet_voice_circle	5.7220458984375E-5
20200827	family	0.01395416259765625
20200901	localmeet_onebyone	0.005953788757324219
20200829	normal	2.5068283081054688
20200831	queen_dating	0.01256561279296875
20200828	audiolive	0.05312347412109375
20200831	queen_onebyone	0.03443145751953125
20200831	chatright	0.027355194091796875
20200831	residentlive	0.3103656768798828
20200830	game	0.0013370513916015625
20200828	family	0.0024614334106445312
20200826	lovemeet_onebyone	0.0027923583984375
20200901	gmu_live	0.03905010223388672
20200829	audiolive	0.05606651306152344
20200826	cls.push.hnyapu.cn	0.06501388549804688
20200827	lovemeet_onebyone	0.00753021240234375
20200826	eos_ja-video	5.5694580078125E-4
20200826	lovemeet_voice_circle	3.814697265625E-5
20200826		0.48517513275146484
20200826	findhomielive	7.848739624023438E-4
20200827	cls.push.hnyapu.cn	0.07653522491455078
20200826	gmu_link	0.002208709716796875
20200831	localmeet_onebyone	0.0011768341064453125
20200828	lovemeet_onebyone	0.0025501251220703125
20200831	eos_normal	9.5367431640625E-6
20200830	gmu_live	0.03121471405029297
20200827	lovemeet_voice_circle	4.673004150390625E-5
20200827		0.8666324615478516
20200827	findhomielive	0.0015287399291992188
20200828	cls.push.hnyapu.cn	0.06518363952636719
20200827	gmu_link	0.0026617050170898438
20200829	lovemeet_onebyone	0.003962516784667969
20200901	normal	2.7606611251831055
20200831	gmu_live	0.0544281005859375
20200828	lovemeet_voice_circle	8.0108642578125E-5
20200826	friendlive	0.0036630630493164062
20200828		0.4793052673339844
20200828	findhomielive	7.848739624023438E-4
20200829	cls.push.hnyapu.cn	0.06594181060791016
20200828	gmu_link	0.0018091201782226562
20200826	multiplayer	0.031096458435058594
20200829	lovemeet_voice_circle	4.100799560546875E-5
20200901	audiolive	0.06709957122802734
20200827	friendlive	0.0012025833129882812
20200829		0.41310691833496094
20200829	findhomielive	9.288787841796875E-4
20200901	family	0.004695892333984375
20200826	23	0.001102447509765625
20200827	multiplayer	0.06639385223388672
20200826	localmeet_voice_circle	8.106231689453125E-5
20200830	normal	2.5530385971069336
20200826	queen_dating	0.010345458984375
20200828	friendlive	0.0011720657348632812
20200826	queen_onebyone	0.02405834197998047
20200826	chatright	0.027106285095214844
20200826	residentlive	0.08423709869384766
20200828	multiplayer	0.05589008331298828
20200827	localmeet_voice_circle	4.100799560546875E-5
20200831	normal	4.127321243286133
20200830	audiolive	0.056771278381347656
20200827	queen_dating	0.01175689697265625
20200829	friendlive	5.893707275390625E-4
20200827	queen_onebyone	0.02844715118408203
20200827	chatright	0.024282455444335938
20200827	residentlive	0.25074005126953125
20200829	multiplayer	0.055771827697753906
20200828	localmeet_voice_circle	1.0013580322265625E-4
20200901	lovemeet_onebyone	0.005871772766113281
20200831	audiolive	0.05685997009277344
20200828	queen_dating	0.01123046875
20200901	cls.push.hnyapu.cn	0.057900428771972656
20200831	family	0.002140045166015625
20200828	queen_onebyone	0.02340221405029297
20200828	chatright	0.028089523315429688
20200828	residentlive	0.1271982192993164
20200826	localmeet_onebyone	0.0032138824462890625
20200901	lovemeet_voice_circle	8.106231689453125E-5
20200826	eos_normal	0.0017137527465820312
20200829	queen_dating	0.016043663024902344
20200901		0.6022796630859375
20200901	findhomielive	7.781982421875E-4
20200901	gmu_link	0.01126861572265625
20200829	queen_onebyone	0.03110980987548828
20200829	chatright	0.028992652893066406
20200829	residentlive	0.1797780990600586
20200830	lovemeet_onebyone	0.0039920806884765625
20200827	localmeet_onebyone	0.003559112548828125
20200827	eos_normal	0.005465507507324219
20200826	gmu_live	0.039536476135253906
20200830	cls.push.hnyapu.cn	0.06784915924072266
20200831	lovemeet_onebyone	0.0073223114013671875
20200828	localmeet_onebyone	0.005367279052734375
20200830	lovemeet_voice_circle	8.106231689453125E-5
20200830		0.4392538070678711
20200830	findhomielive	9.708404541015625E-4
20200901	friendlive	0.0014104843139648438
20200827	gmu_live	0.06736469268798828
20200831	cls.push.hnyapu.cn	0.06367015838623047
20200901	multiplayer	0.0561676025390625
20200829	localmeet_onebyone	0.00171661376953125
20200831	lovemeet_voice_circle	1.0585784912109375E-4
20200831		0.7772407531738281
20200831	findhomielive	0.0012006759643554688
20200828	gmu_live	0.03008270263671875
20200831	gmu_link	0.016679763793945312
20200901	23	9.775161743164062E-4
20200901	localmeet_voice_circle	8.106231689453125E-5
20200826	normal	2.7621994018554688
20200901	queen_dating	0.016961097717285156
20200830	friendlive	5.960464477539062E-4
20200829	gmu_live	0.028865814208984375
20200827	77_residentlive	7.152557373046875E-5
20200901	queen_onebyone	0.0326385498046875
20200830	multiplayer	0.05307292938232422
20200901	chatright	0.019870758056640625
20200901	residentlive	0.24863433837890625
20200827	normal	4.52972412109375
20200831	friendlive	0.0020751953125
20200826	audiolive	0.05207633972167969
20200831	multiplayer	0.10914993286132812
20200826	family	0.00368499755859375
20200828	normal	2.6663904190063477
20200830	queen_dating	0.010158538818359375
20200827	audiolive	0.053244590759277344
20200830	queen_onebyone	0.029949188232421875
20200830	chatright	0.018317222595214844
20200830	residentlive	0.16945457458496094
20200831	23	0.001163482666015625
